,author_id,username,date,likes,retweets,reply count,text
56,28536264,Morcia,2022-04-21 19:54:33+00:00,89,13,4,First came furlough then came quantitative easing then Eat out to help out and now we find ourselves paying for someone else s war Any other suggestions to royally f ck and crash the economy and people of the UK in the process to bring about centralised digital banking
57,1334653386684248072,NoemiTitarenco,2022-04-21 19:53:56+00:00,3,0,0,the big short except i need the economy to crash so i can finish it
58,1210048801232347139,CDMan5000,2022-04-21 19:52:11+00:00,0,0,3,But we do hear about the economy booming because unemployment is at but labor force participation is at crash levels
59,1274107788986204161,CLR7111,2022-04-21 19:50:31+00:00,0,0,0,Imagine for a moment if Disney pulled up stakes and relocated to another state what that would do to the economy it would crash because that s how monetarily powerful they are
60,1467694088321441794,RustyShakk,2022-04-21 19:50:19+00:00,0,0,1,Crash the real economy and excess consumption
61,1446486901976875019,jan78778767,2022-04-21 19:41:15+00:00,0,0,1,Austrian Banks Could Trigger Global Depression Again House prices and the economy House Price Crash Forum
62,1484652278795669508,BellJohnPhysics,2022-04-21 19:39:01+00:00,1,0,0,Cliff Notes The MSM lies Believe the opposite Congress is complete bought and paid for Biden Administration is part of the DS and knowingly destroying America Inflation is on purpose The border is wide open on purpose They want the economy to crash In the end God wins
63,387472346,DanielDiMartino,2022-04-21 19:37:58+00:00,1,0,1,Redacted I think it s smart to keep this pace every meeting like this and see how the situation evolves We don t wanna crash the economy either
64,1446486901976875019,jan78778767,2022-04-21 19:33:43+00:00,0,0,0,Austrian Banks Could Trigger Global Depression Again House prices and the economy House Price Crash Forum
65,1494816671999082499,Afcchamps1,2022-04-21 19:30:10+00:00,1,2,1,Ok sheep Enjoy your higher taxes and if Disney closed fla economy that will crash my God I would love to see fla crash and burn
66,1231580619882270720,Aadityasingha92,2022-04-21 19:29:43+00:00,0,0,1,When all market crash internet crucified then can only manufacturing will a countrys economy All this service sector is just some computing number real growth happens in manufacturing sector this information is known to kids but look at this idiot what he is saying how can such
67,1494816671999082499,Afcchamps1,2022-04-21 19:26:09+00:00,0,0,0,Musk first Enjoy higher taxes and I hope they close all together and watch the entire fla economy crash
68,1333583857573048325,ThinkAnQuestion,2022-04-21 19:25:39+00:00,1,1,1,They want digital banking currency so much that they are going to crash economy s in countries
69,37094463,daiseskat,2022-04-21 19:21:33+00:00,0,0,0,US economy is going further in debt and about to crash thanks to this guy s spending spree President Joe Biden on Thursday announced an additional million in military aid to help Ukraine fight back
70,1446486901976875019,jan78778767,2022-04-21 19:20:11+00:00,0,0,1,Austrian Banks Could Trigger Global Depression Again House prices and the economy House Price Crash Forum
71,1494816671999082499,Afcchamps1,2022-04-21 19:18:34+00:00,0,0,0,Welcome to higher taxes I am going to lmao if Disney closes for a few years and watch fla economy crash
72,1360405610068541441,WendyBruening,2022-04-21 19:03:09+00:00,0,0,0,I have no clue It s the party of rich old white men for rich old white men and its policies are seriously damaging to of the population It has been this way for decades They crash the economy they take people s rights away they destroy the environment
73,170774815,MikePMoffatt,2022-04-21 18:57:33+00:00,39,6,2,What else changed in OIL PRICES The oil price crash weakened AB SK NL s economy and strengthened Ontario s Ontario had been losing population to those provinces from In the flow went the other way This accts for of the extra population growth
74,17535349,IainTrollsBots,2022-04-21 18:45:27+00:00,0,0,1,Chris flocks Marshak not a bot Leaver ish sayin bolton Kate toby That s what European countries are phasing out Crashing our economies to turn populations against helping Ukraine won t make things better and it would not stop the war tomorrow Also as we compete for the same sources our economy will crash too
75,57545819,Lollerwaffle,2022-04-21 18:42:01+00:00,15,0,0,I live here amp I am very excited to see what happens when politicians challenge Disney even for this dumb culture war reason just because I have always been told Disney will crash our entire economy if we don t treat them like their own sovereign country Let s find out
76,958302105315495936,BloodsnCrypts,2022-04-21 18:39:49+00:00,0,0,0,Btw note to self I already know now it will be so scary to press buy in the crash like it always is Markets and economy in big shit everybody talking about big players in trouble defaulting and shit I will have stomach aches pressing buy that s the best buy
77,266842886,MissGDV,2022-04-21 18:37:35+00:00,0,0,0,I agree with this I think Mid May or June But I dont know if pegged USD is ok or should I convert them all to FIAT to be safe but global economy will crash anyway Precious and industrial metals will be bullish in this case Idw if I should simply take peggd GOLD or USD
78,1345457809236832256,Eggwardo10,2022-04-21 18:34:24+00:00,2,0,0,If they drug tested after the economy would crash into the ground at Mach speeds
79,825093215111962624,TyAccornero,2022-04-21 18:26:02+00:00,0,0,0,I wonder how much Florida s economy would crash if Disney moved it s park to another state alot of tourist and tax dollars there
80,921124164,GentryLeonard,2022-04-21 18:21:07+00:00,0,0,1,Look at Sweden million cases extremely high with a pop of mil but only k deaths Lockdowns didn t make a difference All they did was crash the world economy and benefit the people in power at the demise of the masses
81,64616310,Nshwaaswi,2022-04-21 18:20:20+00:00,0,0,0,And this is what the Govt does when its really trying to crash the economy and destroy people s lives Its easier to get control when people are depressed and oppressed
82,321459580,rhallnj,2022-04-21 18:08:41+00:00,0,0,0,Not that they will admit it but they will seek to crash the economy in preparation for and that will do it
83,351669957,tomhassien,2022-04-21 18:01:45+00:00,0,0,0,michael Point is he is Russkibot and lives in lala land othersuse known as post economy crash Russia
84,1293538644297474049,GoSatvik,2022-04-21 18:01:08+00:00,19,3,1,Borrow lots of money Distribute some of it in general masses Share most of it with your corrupt friends Bring lockdowns destroy business and cause unemployment Crash the economy cause inflation and reduce purchasing power Blame the virus and war on TV
85,1508030012418633730,45nbgdr,2022-04-21 17:56:05+00:00,9,0,0,Russia is defaulting because they are not allowed to pay its not that their internal economy will crash due to this default And its obvious they are selling enough to third parties already given high prices
86,14885388,davidra,2022-04-21 17:54:17+00:00,1,0,1,Are you serious Unemployment was the highest under Trump Worst economy Biggest market crash Most people dying every day from the pandemic that he downplayed
87,1382058877210988545,PabloMcQueen2,2022-04-21 17:47:47+00:00,0,0,2,alo Lolol whenever Biden speaks on his plans for the economy the market goes down Not crashes a crash is a specific percentage like a correction But especially in he s bought blood to the market every time speaks during market hours
88,1424482607383863298,Bucklander1,2022-04-21 17:42:10+00:00,1,0,0,I think its embarrasment on the part of everyone else It was like Let them have this guys If not the best they can do is some Mali king who happened to crash the world economy or some slave pens in Greater Zimbabwe
89,779481359479869440,cookstarfarms,2022-04-21 17:39:04+00:00,0,0,0,He is earning the nickname Mr Dithers He will crash the economy worse with his approach
90,2284907701,ChildrenOfHuman,2022-04-21 17:37:15+00:00,0,0,0,Yea like I say World will help Ukraine build back but no one helps Russia witch economy will crash down like sand castle what it is
91,714098550083305472,countrylivin741,2022-04-21 17:34:33+00:00,0,0,0,I just want all you lefties to know we all have been trying to warn people about what is going to happen to us and our country and tried to rally support for the truth Now we all will get to enjoy our economy crash and food shortages so severe that people will starve SMH
92,1376122075987972096,Gary58492111,2022-04-21 17:24:28+00:00,0,0,0,Fed trying to crash the economy This is all going according to plan Reset coming and Klaus Blackrock rubbing their filthy tiny hands with glee
93,366693274,thedoctorxxx,2022-04-21 17:20:54+00:00,1,1,0,No economy to crash
94,1466274013144039429,Rugger4life3,2022-04-21 17:19:39+00:00,0,0,0,all talk they know it will crash the economy
95,865403882091888643,KaiserVtuber,2022-04-21 17:19:38+00:00,2,0,0,Sure but don t expect my economy to crash once I capture all the worlds oil fields
96,954901944585273345,DerekGunn10,2022-04-21 17:10:08+00:00,0,0,0,It has Been arranged a house of cards and inside hrs Can completely crash the global economy and the first action is Saudi Arabia pulling its monetary backing of the usd and making it Yuen or rubles and then it s lights out
97,1299336955487047686,tedjones48,2022-04-21 17:08:34+00:00,0,0,0,Taddeo have no fear the housing mkt will soon crash bringing down yet another part of brandons booming economy
98,1215798756341420032,hoodietrades,2022-04-21 16:56:20+00:00,3,0,1,No its not If you re ahead of the curve you crash the market while trying to land rates gently If you re behind the curve then you re not landing the plane at all He s saying the fed can tighten more aggressively without nuking the economy It s consistent even if wrong
99,1346112334092091394,BC_Buffet,2022-04-21 16:53:53+00:00,3,0,0,My new video is up on YouTube Netflix crash shines light on US economy
